#complex,groundtruth
#2-variable linear MBA expression
-x-1,~x
((2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))|~y)-1*(~((2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))^y))-1*(2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))-1*((2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))|y)-1*y-1*(~((2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))|y))+1*(~((2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))|~y))+1*((2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&~y)+3*((2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))&y),-~a,(2*(a&b)-2*(a&~b)+3*(a^b)-1*~(a^b)+1*~(a|b)-3*~(a|~b))
-1*(~(x&~(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b))))-1*(~(x&(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b))))-1*(~(x^(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b))))-2*(~(x&~x))+5*(~(x|(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b))))+2*(~(x|~(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b))))+2*(x&~(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b)))+3*(x&(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b))),-2*(x|b)+1*x,(-10*(a&b)-8*(a&~b)+11*(a|~b)-3*~(a&b)-8*~(a|b)+4*~(a|~b))
2*y-1*((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))^y)-1*(~((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))&y))-2*(-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))-2*(~((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))&~(-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))))+((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))|~y)+3*(~((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))|y))+4*(~((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))|~y))+4*((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))&~y)+1*((-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))&y),-~y+2*~a,(-6*(a&b)-9*(a&~b)+3*(a^b)+7*(a|~b)-7*~(a|b)-3*~(a|~b))
~(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b)+(~(x&~x))+(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b)-1*(~(x&(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b)))-2*(x|(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b))-1*~x-1*(~(x|(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b)))+2*(~(x|~(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b)))+2*(x&~(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b)),-(~(x^b))+1*x,(1*(a&b)-6*(a&~b)+7*(a^b)+1*~(a|b)-6*~(a|~b)-1*~b)
-3*((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))^y)+((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))|y)+(~((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))&~(3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))))+~(3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))+(3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))-1*~y-1*(~((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))&~y))-1*(~((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))&y))+4*(~((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))|~y))+1*((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))&~y)-1*((3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))&y),-(a|~y)+2*y,(3*(a&b)+1*a-3*~(a&~b)+3*~(a|b)+3*~(a|~b))
-1*(~(x&~x))+(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)-1*(~(x^(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)))-1*(~(x&~(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)))+(x^(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b))+~(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)+(x|(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b))+1*(~(x|(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)))-1*(~(x|~(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)))-3*(x&~(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)),-(x|~b),(-10*(a&b)-12*(a&~b)+11*~(a&~a)-12*~(a|b)-10*~(a|~b)+1*~b)
y+2*(~((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)^y))-1*((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)^y)-1*(~((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)&y))-4*~(1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)+(~((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)&~y))+~y-1*(~((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)&~(1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)))+2*(~((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)|y))+5*(~((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)|~y))+1*((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)&~y)-4*((1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)&y),-a,(1*(a&b)-5*(a&~b)+5*~(a&b)-6*~(a|b)-5*~(a|~b)+1*~b)
-1*(~(x^(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b))))+(x^(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b)))-2*x-2*~(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b))+(~(x&(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b))))+2*~x-2*(~(x&~x))+2*(~(x|(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b))))-1*(~(x|~(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b))))+5*(x&~(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b)))+6*(x&(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b))),1*(x|b),(6*(a&b)+2*~(a&~b)-7*~(a^b)+5*~(a|b)-1*~(a|~b))
-1*((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)^y)-1*((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)|y)-1*(~((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)^y))+(~((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)&~y))-1*(~((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)&~(1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)))-1*~y+y-1*~(1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)-1*(~((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)&y))+3*(~((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)|y))+3*(~((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)|~y))+4*((1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)&~y),-(a|~y),(1*(a|b)-1*~(a|b)-2*~(a|~b)+1*~a)
-1*(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b))-1*~x-2*x-1*(x^(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b)))+3*(x|(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b)))-1*(~(x|(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b))))-1*(~(x|~(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b))))-1*(x&~(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b)))-2*(x&(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b))),-(~(x^b))-(~(x&~x)),(8*(a&b)+8*(a&~b)-7*(a|b)-1*~(a&b)+1*~(a|b)+9*~(a|~b))
-1*~y+5*(~((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)&~(1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)))-1*((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)|~y)-1*(~((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)&y))+~(1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)+(~((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)&~y))+2*((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)^y)-4*(~((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)|y))-8*(~((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)|~y))-3*((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)&~y)-4*((1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)&y),1*a,(1*(a&b)-4*(a&~b)-6*~(a|b)-1*~(a|~b)+1*~a+5*~b)
-1*(x|~(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b)))+(~(x&~x))-1*x-1*(x|(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b)))-2*~x-1*~(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b))+2*(~(x^(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b))))-1*(~(x&(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b))))+1*(~(x|~(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b))))+4*(x&~(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b)))-2*(x&(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b))),-2*(~(x&~b)),(1*(a&b)-2*(a&~b)-1*(a^b)+3*~(a&b)-3*~(a|b)-1*~(a|~b))
-1*((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))|y)-2*(14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))-1*(~((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))&~(14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))))-1*y-3*~(14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))+((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))^y)-1*(~((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))^y))+~y+2*(~((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))&y))+3*(~((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))|~y))-2*((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))&~y)+4*((14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))&y),-2*(a|~y),(14*(a&b)+14*(a&~b)-11*(a|~b)-2*~(a&~a)+13*~(a|b)+2*~(a|~b))
-2*(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)-1*(~(x&(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)))+(~(x^(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)))+2*(~(x&~(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)))+(x^(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b))+~(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)+(x|(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b))-4*(~(x|(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)))-2*(~(x|~(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)))-1*(x&~(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b))-1*(x&(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)),-~x+1*x,(-10*(a&b)+5*(a&~b)+11*~(a^b)-6*~(a|b)+1*~(a|~b)-5*~b)
(1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)-1*((1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)|y)-1*~y+5*(~((1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)&~(1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)))+~(1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)+2*(~((1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)&~y))-3*(~((1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)|y))-9*(~((1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)|~y))-2*((1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)&~y)-3*((1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)&y),-2*(a^y)+4*(a|~y),(1*(a&b)+5*~(a|b)+6*~(a|~b)-6*~a+1*~b)
-1*(x|~(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b)))-1*~x-1*x-1*(~(x&(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b))))-2*(~(x&~x))-2*(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b))+6*(~(x|(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b))))+5*(~(x|~(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b))))+7*(x&~(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b)))+5*(x&(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b))),-(~(x&~b))+2*~b,(-3*(a&b)-4*(a&~b)+2*a+2*~(a&~a)-2*~(a|b)-1*~(a|~b))
-1*(~((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))&y))-1*((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))|y)+((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))|~y)-2*(~((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))&~y))-1*y+~(7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))+~y+(~((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))&~(7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))))+2*(7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))-1*(~((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))|y))+5*(~((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))|~y))-1*((7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))&~y),2*(a^y),(7*(a&b)+7*(a&~b)-1*(a|b)-5*a+1*~(a|~b))
2*(~(x^(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))))-1*~(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))+(x|(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b)))-1*~x-2*(~(x&~x))+(x|~(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b)))+3*(~(x&(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))))-1*(~(x&~(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))))+(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))-1*(~(x|(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))))-3*(~(x|~(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))))-4*(x&~(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b)))-2*(x&(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))),-2*(x^b),(3*(a&b)-7*(a&~b)+7*~(a&b)-2*~(a^b)-5*~(a|b)-6*~(a|~b))
~y-2*(3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)+~(3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)-1*(~((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)&y))+((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)|y)-1*((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)|~y)+2*(~((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)^y))-2*(~((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)&~y))+y+1*(~((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)|y))+1*(~((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)|~y))+3*((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)&~y)+2*((3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)&y),1*(~(a&~a)),(3*(a&b)+3*(a&~b)-2*(a|~b)-5*~(a|b)-7*~(a|~b)+7*~a)
-1*(x|~(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b)))+~x+(~(x&(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))))+(~(x^(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))))-1*(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))-1*(~(x&~(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))))+x-1*(~(x|(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))))+1*(~(x|~(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))))+2*(x&(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))),1*(x|b),(1*(a&b)+3*(a&~b)-2*(a^b)-1*~(a&b)+1*~(a|b)+4*~(a|~b))
-1*~(-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)-1*((-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)^y)+(-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)+4*~y-2*((-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)|y)-4*(~((-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)&~y))-1*y-1*((-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)|~y)+8*(~((-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)|~y))-2*((-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)&~y)+6*((-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)&y),-(~(a&y))-(~(a^y)),(-4*(a&b)-5*(a&~b)+5*a-1*~(a|b)+1*~b)
2*~x+(x|~(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a))-2*x-1*(~(x^(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)))+2*~(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)-1*(x^(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a))+(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)+(~(x&~(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)))-1*(~(x&(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)))-4*(~(x|(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)))-1*(~(x|~(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)))+2*(x&~(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a))+1*(x&(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)),1*(x|b),(-3*(a&b)-4*(a&~b)+4*(a|~b)-3*~(a|b)+2*~(a|~b)-1*~a)
((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))^y)+(~((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))&y))-1*(~((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))^y))+~y-1*(3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))-1*(~((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))&~(3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))))-1*((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))|y)+y-1*(~((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))|y))-2*(~((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))|~y))+3*((3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))&y),-~a,(3*(a&b)-3*(a&~b)-6*b+4*~(a&~a)-4*~(a|b)+2*~(a|~b))
