# expression,groundtruth
(((~ ((((((c + c) + 1) + ((- c - 1) | (- c - 1))) ^ ~ c) + (((((c + c) + 1) + ((- c - 1) | (- c - 1))) | c) << 1)) + 1) + 1) & ~ (((b & ~ (- b - 1)) + (b & ~ (- b - 1))) - (b ^ (- b - 1)))) << 1) - ((~ ((((((c + c) + 1) + ((- c - 1) | (- c - 1))) ^ ~ c) + (((((c + c) + 1) + ((- c - 1) | (- c - 1))) | c) << 1)) + 1) + 1) ^ (((b & ~ (- b - 1)) + (b & ~ (- b - 1))) - (b ^ (- b - 1)))),(((-((c|c)+c))-(b-(~b))))
((((d - d) - ((d | ~ d) + (d | ~ d))) - 2) & ~ (~ ((((d - (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)) - ((d | ~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)) + (d | ~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)))) - 2) - 1))) + ~ ((((d - (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)) - ((d | ~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)) + (d | ~ (((a - a) - ((a | ~ a) + (a | ~ a))) - 2)))) - 2) - 1),(((d^d)|(-(d^(a^a)))))
((((a ^ (~ ((b + ~ (~ a + 1)) + 1) + 1)) + ((a & (~ ((b + ~ (~ a + 1)) + 1) + 1)) << 1)) + (((((~ e | a) + e) + 1) | b) - b)) + 1) + ((- ((a ^ (~ ((b + ~ (~ a + 1)) + 1) + 1)) + ((a & (~ ((b + ~ (~ a + 1)) + 1) + 1)) << 1)) - 1) | (- (((((~ e | a) + e) + 1) | b) - b) - 1)),(((a+(-(b-(-a))))|((e&a)&(~b))))
~ (((~ (((b - a) - ((b | ~ a) << 1)) - 2) | ((((((e - b) - ((e | ~ b) << 1)) - 2) + ((~ b | b) - ~ b)) + 1) + ((- (((e - b) - ((e | ~ b) << 1)) - 2) - 1) | (- ((~ b | b) - ~ b) - 1)))) - ~ (((b - a) - ((b | ~ a) << 1)) - 2)) - 1),((-((b^a)&((e^b)|(b&b)))))
~ ((~ (~ ((((a - ((a | a) - (a & a))) - ((a | ~ ((a | a) - (a & a))) << 1)) - 2) - 1) - 1) | ((((a & ~ a) + a) ^ (((b | a) + (b | a)) - (b ^ a))) + ((((a & ~ a) + a) & (((b | a) + (b | a)) - (b ^ a))) + (((a & ~ a) + a) & (((b | a) + (b | a)) - (b ^ a)))))) - (~ (~ ((((a - ((a | a) - (a & a))) - ((a | ~ ((a | a) - (a & a))) << 1)) - 2) - 1) - 1) & ((((a & ~ a) + a) ^ (((b | a) + (b | a)) - (b ^ a))) + ((((a & ~ a) + a) & (((b | a) + (b | a)) - (b ^ a))) + (((a & ~ a) + a) & (((b | a) + (b | a)) - (b ^ a))))))) + 1,((-((-(-(a^(a^a))))^((a|a)+(b+a)))))
~ (((((((((c | c) - (c & c)) & ~ (- b - 1)) + (- b - 1)) & ((b & ~ c) + c)) * (((((c | c) - (c & c)) & ~ (- b - 1)) + (- b - 1)) | ((b & ~ c) + c)) + (((((c | c) - (c & c)) & ~ (- b - 1)) + (- b - 1)) & ~ ((b & ~ c) + c)) * (~ ((((c | c) - (c & c)) & ~ (- b - 1)) + (- b - 1)) & ((b & ~ c) + c))) - ~ ((c & e) * (c | e) + (c & ~ e) * (~ c & e))) - 1) - 1),((-((((c^c)|(~b))*(b|c))+(c*e))))
((((((~ d | d) - ~ d) - ~ (d - 1)) - ((((~ d | d) - ~ d) | ~ (~ (d - 1))) << 1)) - 2) | ((b & (- b - 1)) * (b | (- b - 1)) + (b & ~ (- b - 1)) * (~ b & (- b - 1)))) - ((((((~ d | d) - ~ d) - ~ (d - 1)) - ((((~ d | d) - ~ d) | ~ (~ (d - 1))) << 1)) - 2) & ((b & (- b - 1)) * (b | (- b - 1)) + (b & ~ (- b - 1)) * (~ b & (- b - 1)))),((((d&d)^(-d))^(b*(~b))))
(~ (~ (((~ c | ((~ b | a) - ~ b)) + c) + 1) + 1) | (((a - a) - ((a | ~ a) << 1)) - 2)) - ~ (~ (((~ c | ((~ b | a) - ~ b)) + c) + 1) + 1),(((-(c&(b&a)))&(a^a)))
(((((((~ ((~ d | e) - ~ d) | b) + ((~ d | e) - ~ d)) + 1) & ~ ((((((~ b | d) - ~ b) + ~ e) + 1) | e) + (((((~ b | d) - ~ b) + ~ e) + 1) & e))) - (~ (((~ ((~ d | e) - ~ d) | b) + ((~ d | e) - ~ d)) + 1) & ((((((~ b | d) - ~ b) + ~ e) + 1) | e) + (((((~ b | d) - ~ b) + ~ e) + 1) & e)))) ^ ~ ((b | (~ ((e & ~ d) - (~ e & d)) + 1)) - (b & (~ ((e & ~ d) - (~ e & d)) + 1)))) + (((((((~ ((~ d | e) - ~ d) | b) + ((~ d | e) - ~ d)) + 1) & ~ ((((((~ b | d) - ~ b) + ~ e) + 1) | e) + (((((~ b | d) - ~ b) + ~ e) + 1) & e))) - (~ (((~ ((~ d | e) - ~ d) | b) + ((~ d | e) - ~ d)) + 1) & ((((((~ b | d) - ~ b) + ~ e) + 1) | e) + (((((~ b | d) - ~ b) + ~ e) + 1) & e)))) | ((b | (~ ((e & ~ d) - (~ e & d)) + 1)) - (b & (~ ((e & ~ d) - (~ e & d)) + 1)))) << 1)) + 1,(((((d&e)&b)-(((b&d)-e)+e))+(b^(-(e-d)))))
(((e & c) * (e | c) + (e & ~ c) * (~ e & c)) & ~ (((c + (((e + b) + 1) + ((- e - 1) | (- b - 1)))) + 1) + ((- c - 1) | (- (((e + b) + 1) + ((- e - 1) | (- b - 1))) - 1)))) + (((c + (((e + b) + 1) + ((- e - 1) | (- b - 1)))) + 1) + ((- c - 1) | (- (((e + b) + 1) + ((- e - 1) | (- b - 1))) - 1))),(((e*c)|(c|(e|b))))
((((((e & a) * (e | a) + (e & ~ a) * (~ e & a)) + ~ (((~ e + 1) & a) * ((~ e + 1) | a) + ((~ e + 1) & ~ a) * (~ (~ e + 1) & a))) + 1) + ((a & ~ ((((e & ~ (~ (a - 1))) + ~ (a - 1)) + ~ ((~ d | d) - ~ d)) + 1)) + ((((e & ~ (~ (a - 1))) + ~ (a - 1)) + ~ ((~ d | d) - ~ d)) + 1))) + 1) + ((- ((((e & a) * (e | a) + (e & ~ a) * (~ e & a)) + ~ (((~ e + 1) & a) * ((~ e + 1) | a) + ((~ e + 1) & ~ a) * (~ (~ e + 1) & a))) + 1) - 1) | (- ((a & ~ ((((e & ~ (~ (a - 1))) + ~ (a - 1)) + ~ ((~ d | d) - ~ d)) + 1)) + ((((e & ~ (~ (a - 1))) + ~ (a - 1)) + ~ ((~ d | d) - ~ d)) + 1)) - 1)),((((e*a)-((-e)*a))|(a|((e|(-a))-(d&d)))))
(a + ~ (~ ((~ a + 1) - 1) - 1)) + 1,((a-(~(-(-(-a))))))
((((b & ~ b) << 1) - (b ^ b)) ^ ~ (((((~ (b + 1) | ((b & c) * (b | c) + (b & ~ c) * (~ b & c))) - ~ (b + 1)) | ((b & ~ b) + b)) - (((~ (b + 1) | ((b & c) * (b | c) + (b & ~ c) * (~ b & c))) - ~ (b + 1)) & ((b & ~ b) + b))) - 1)) - ((~ (((b & ~ b) << 1) - (b ^ b)) & ~ (((((~ (b + 1) | ((b & c) * (b | c) + (b & ~ c) * (~ b & c))) - ~ (b + 1)) | ((b & ~ b) + b)) - (((~ (b + 1) | ((b & c) * (b | c) + (b & ~ c) * (~ b & c))) - ~ (b + 1)) & ((b & ~ b) + b))) - 1)) + (~ (((b & ~ b) << 1) - (b ^ b)) & ~ (((((~ (b + 1) | ((b & c) * (b | c) + (b & ~ c) * (~ b & c))) - ~ (b + 1)) | ((b & ~ b) + b)) - (((~ (b + 1) | ((b & c) * (b | c) + (b & ~ c) * (~ b & c))) - ~ (b + 1)) & ((b & ~ b) + b))) - 1))),(((b-b)-(-(((-(~b))&(b*c))^(b|b)))))
(((((- a - 1) ^ ~ ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) + (((- a - 1) | ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) << 1)) + 1) | ((e | (((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c) * ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) | c) + ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & ~ c) * (~ (((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c))) - (e & (((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c) * ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) | c) + ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & ~ c) * (~ (((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c))))) - (((((- a - 1) ^ ~ ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) + (((- a - 1) | ((c & c) * (c | c) + (c & ~ c) * (~ c & c))) << 1)) + 1) & ((e | (((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c) * ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) | c) + ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & ~ c) * (~ (((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c))) - (e & (((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c) * ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) | c) + ((((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & ~ c) * (~ (((((a | c) + (a & c)) ^ ~ a) + ((((a | c) + (a & c)) | a) + (((a | c) + (a & c)) | a))) + 1) & c))))),((((~a)+(c*c))^(e^(((a+c)+a)*c))))
(((~ ((((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d) + ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d)) - ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) ^ d)) | ((d + ~ a) + 1)) - ~ ((((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d) + ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d)) - ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) ^ d))) | (~ (~ (((a ^ (- a - 1)) + ((a & (- a - 1)) + (a & (- a - 1)))) - 1)) + 1)) - (((~ ((((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d) + ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d)) - ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) ^ d)) | ((d + ~ a) + 1)) - ~ ((((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d) + ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) & ~ d)) - ((((a - d) - ((a | ~ d) + (a | ~ d))) - 2) ^ d))) & (~ (~ (((a ^ (- a - 1)) + ((a & (- a - 1)) + (a & (- a - 1)))) - 1)) + 1)),(((((a^d)-d)&(d-a))^(-(-(a+(~a))))))
(((((((a + a) + 1) + ((- a - 1) | (- a - 1))) + c) + 1) + ((- (((a + a) + 1) + ((- a - 1) | (- a - 1))) - 1) | (- c - 1))) + ~ ((- (((~ a | ((((c ^ a) - ((~ c & a) << 1)) ^ c) + ((((c ^ a) - ((~ c & a) << 1)) & c) << 1))) + a) + 1) - 1) - 1)) + 1,((((a|a)|c)-(~(-(~(a&((c-a)+c)))))))
(~ (((b - (((e - e) - ((e | ~ e) + (e | ~ e))) - 2)) - ((b | ~ (((e - e) - ((e | ~ e) + (e | ~ e))) - 2)) << 1)) - 2) | ((((((~ e | b) - ~ e) | e) - e) & (((b | (- e - 1)) << 1) - (b ^ (- e - 1)))) * (((((~ e | b) - ~ e) | e) - e) | (((b | (- e - 1)) << 1) - (b ^ (- e - 1)))) + (((((~ e | b) - ~ e) | e) - e) & ~ (((b | (- e - 1)) << 1) - (b ^ (- e - 1)))) * (~ ((((~ e | b) - ~ e) | e) - e) & (((b | (- e - 1)) << 1) - (b ^ (- e - 1)))))) - ~ (((b - (((e - e) - ((e | ~ e) + (e | ~ e))) - 2)) - ((b | ~ (((e - e) - ((e | ~ e) + (e | ~ e))) - 2)) << 1)) - 2),(((b^(e^e))&(((e&b)&(~e))*(b+(~e)))))
(~ (((((((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2)) * ((((a | e) << 1) - (a ^ e)) | (((b - a) - ((b | ~ a) << 1)) - 2)) + ((((a | e) << 1) - (a ^ e)) & ~ (((b - a) - ((b | ~ a) << 1)) - 2)) * (~ (((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2))) & ((b ^ a) + ((b & a) + (b & a)))) * ((((((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2)) * ((((a | e) << 1) - (a ^ e)) | (((b - a) - ((b | ~ a) << 1)) - 2)) + ((((a | e) << 1) - (a ^ e)) & ~ (((b - a) - ((b | ~ a) << 1)) - 2)) * (~ (((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2))) | ((b ^ a) + ((b & a) + (b & a)))) + ((((((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2)) * ((((a | e) << 1) - (a ^ e)) | (((b - a) - ((b | ~ a) << 1)) - 2)) + ((((a | e) << 1) - (a ^ e)) & ~ (((b - a) - ((b | ~ a) << 1)) - 2)) * (~ (((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2))) & ~ ((b ^ a) + ((b & a) + (b & a)))) * (~ (((((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2)) * ((((a | e) << 1) - (a ^ e)) | (((b - a) - ((b | ~ a) << 1)) - 2)) + ((((a | e) << 1) - (a ^ e)) & ~ (((b - a) - ((b | ~ a) << 1)) - 2)) * (~ (((a | e) << 1) - (a ^ e)) & (((b - a) - ((b | ~ a) << 1)) - 2))) & ((b ^ a) + ((b & a) + (b & a))))) + 1) - 1,((~(-(-(((a+e)*(b^a))*(b+a))))))
((((d & b) * (d | b) + (d & ~ b) * (~ d & b)) - (- (- (((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) ^ ~ b) + ((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) | b) + (((d & d) * (d | d) + (d & ~ d) * (~ d & d)) | b))) + 1) - 1) - 1)) - ((((d & b) * (d | b) + (d & ~ b) * (~ d & b)) | ~ (- (- (((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) ^ ~ b) + ((((d & d) * (d | d) + (d & ~ d) * (~ d & d)) | b) + (((d & d) * (d | d) + (d & ~ d) * (~ d & d)) | b))) + 1) - 1) - 1)) << 1)) - 2,(((d*b)^(~(~((d*d)+b)))))
~ ((((((((((c - (((~ c | b) + c) + 1)) - ((c | ~ (((~ c | b) + c) + 1)) << 1)) - 2) + c) + 1) + ((- (((c - (((~ c | b) + c) + 1)) - ((c | ~ (((~ c | b) + c) + 1)) << 1)) - 2) - 1) | (- c - 1))) - a) - ((((((((c - (((~ c | b) + c) + 1)) - ((c | ~ (((~ c | b) + c) + 1)) << 1)) - 2) + c) + 1) + ((- (((c - (((~ c | b) + c) + 1)) - ((c | ~ (((~ c | b) + c) + 1)) << 1)) - 2) - 1) | (- c - 1))) | ~ a) << 1)) - 2) - 1),((-(((c^(c&b))|c)^a)))
(~ (~ ((((((c ^ b) + ((c & b) << 1)) - (~ ((b & c) * (b | c) + (b & ~ c) * (~ b & c)) + 1)) - ((((c ^ b) + ((c & b) << 1)) | ~ (~ ((b & c) * (b | c) + (b & ~ c) * (~ b & c)) + 1)) << 1)) - 2) - 1)) | c) - ~ (~ ((((((c ^ b) + ((c & b) << 1)) - (~ ((b & c) * (b | c) + (b & ~ c) * (~ b & c)) + 1)) - ((((c ^ b) + ((c & b) << 1)) | ~ (~ ((b & c) * (b | c) + (b & ~ c) * (~ b & c)) + 1)) << 1)) - 2) - 1)),(((-((c+b)^(-(b*c))))&c))
(((((((b & ~ ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) + ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) + ((~ (b - 1) ^ c) + ((~ (b - 1) & c) + (~ (b - 1) & c)))) + 1) + ((- ((b & ~ ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) + ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) - 1) | (- ((~ (b - 1) ^ c) + ((~ (b - 1) & c) + (~ (b - 1) & c))) - 1))) ^ ~ ((~ c | d) - ~ c)) + (((((((b & ~ ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) + ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) + ((~ (b - 1) ^ c) + ((~ (b - 1) & c) + (~ (b - 1) & c)))) + 1) + ((- ((b & ~ ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) + ((d & c) * (d | c) + (d & ~ c) * (~ d & c))) - 1) | (- ((~ (b - 1) ^ c) + ((~ (b - 1) & c) + (~ (b - 1) & c))) - 1))) | ((~ c | d) - ~ c)) << 1)) + 1,((((b|(d*c))|((-b)+c))+(c&d)))
((((~ ((~ e | ((a | ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) + (a & ((a & a) * (a | a) + (a & ~ a) * (~ a & a))))) - ~ e) | (((c + ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + 1) + ((- c - 1) | (- ((a & c) * (a | c) + (a & ~ c) * (~ a & c)) - 1)))) - ~ ((~ e | ((a | ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) + (a & ((a & a) * (a | a) + (a & ~ a) * (~ a & a))))) - ~ e)) + ((((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & e) * (((c & c) * (c | c) + (c & ~ c) * (~ c & c)) | e) + (((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & ~ e) * (~ ((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & e))) + 1) + ((- ((~ ((~ e | ((a | ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) + (a & ((a & a) * (a | a) + (a & ~ a) * (~ a & a))))) - ~ e) | (((c + ((a & c) * (a | c) + (a & ~ c) * (~ a & c))) + 1) + ((- c - 1) | (- ((a & c) * (a | c) + (a & ~ c) * (~ a & c)) - 1)))) - ~ ((~ e | ((a | ((a & a) * (a | a) + (a & ~ a) * (~ a & a))) + (a & ((a & a) * (a | a) + (a & ~ a) * (~ a & a))))) - ~ e)) - 1) | (- ((((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & e) * (((c & c) * (c | c) + (c & ~ c) * (~ c & c)) | e) + (((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & ~ e) * (~ ((c & c) * (c | c) + (c & ~ c) * (~ c & c)) & e)) - 1)),((((e&(a+(a*a)))&(c|(a*c)))|((c*c)*e)))
- (((d + (((d + (((~ d | b) + d) + 1)) + 1) + ((- d - 1) | (- (((~ d | b) + d) + 1) - 1)))) + 1) + ((- d - 1) | (- (((d + (((~ d | b) + d) + 1)) + 1) + ((- d - 1) | (- (((~ d | b) + d) + 1) - 1))) - 1))) - 1,((~(d|(d|(d&b)))))
~ (~ ((((((~ ((((~ e | d) + e) + 1) - 1) & ~ (e - 1)) * (~ ((((~ e | d) + e) + 1) - 1) | ~ (e - 1)) + (~ ((((~ e | d) + e) + 1) - 1) & ~ (~ (e - 1))) * (~ (~ ((((~ e | d) + e) + 1) - 1)) & ~ (e - 1))) + (- (((- d - 1) & d) * ((- d - 1) | d) + ((- d - 1) & ~ d) * (~ (- d - 1) & d)) - 1)) + 1) + ((- ((~ ((((~ e | d) + e) + 1) - 1) & ~ (e - 1)) * (~ ((((~ e | d) + e) + 1) - 1) | ~ (e - 1)) + (~ ((((~ e | d) + e) + 1) - 1) & ~ (~ (e - 1))) * (~ (~ ((((~ e | d) + e) + 1) - 1)) & ~ (e - 1))) - 1) | (- (- (((- d - 1) & d) * ((- d - 1) | d) + ((- d - 1) & ~ d) * (~ (- d - 1) & d)) - 1) - 1))) - 1)) + 1,((-(-(((-(e&d))*(-e))|(~((~d)*d))))))
(((((~ ((e | a) + (e & a)) | c) + ((e | a) + (e & a))) + 1) & ~ (((~ ((c & ~ a) - (~ c & a)) | a) + ((c & ~ a) - (~ c & a))) + 1)) << 1) - ((((~ ((e | a) + (e & a)) | c) + ((e | a) + (e & a))) + 1) ^ (((~ ((c & ~ a) - (~ c & a)) | a) + ((c & ~ a) - (~ c & a))) + 1)),((((e+a)&c)-((c-a)&a)))
((((~ (((c + ((((~ e | b) - ~ e) & ~ e) + e)) + 1) + ((- c - 1) | (- ((((~ e | b) - ~ e) & ~ e) + e) - 1))) | ((((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & c) * (((b & b) * (b | b) + (b & ~ b) * (~ b & b)) | c) + (((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & ~ c) * (~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & c))) - ~ (((c + ((((~ e | b) - ~ e) & ~ e) + e)) + 1) + ((- c - 1) | (- ((((~ e | b) - ~ e) & ~ e) + e) - 1)))) - ((b | ((e & b) * (e | b) + (e & ~ b) * (~ e & b))) - (b & ((e & b) * (e | b) + (e & ~ b) * (~ e & b))))) - ((((~ (((c + ((((~ e | b) - ~ e) & ~ e) + e)) + 1) + ((- c - 1) | (- ((((~ e | b) - ~ e) & ~ e) + e) - 1))) | ((((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & c) * (((b & b) * (b | b) + (b & ~ b) * (~ b & b)) | c) + (((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & ~ c) * (~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & c))) - ~ (((c + ((((~ e | b) - ~ e) & ~ e) + e)) + 1) + ((- c - 1) | (- ((((~ e | b) - ~ e) & ~ e) + e) - 1)))) | ~ ((b | ((e & b) * (e | b) + (e & ~ b) * (~ e & b))) - (b & ((e & b) * (e | b) + (e & ~ b) * (~ e & b))))) + (((~ (((c + ((((~ e | b) - ~ e) & ~ e) + e)) + 1) + ((- c - 1) | (- ((((~ e | b) - ~ e) & ~ e) + e) - 1))) | ((((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & c) * (((b & b) * (b | b) + (b & ~ b) * (~ b & b)) | c) + (((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & ~ c) * (~ ((b & b) * (b | b) + (b & ~ b) * (~ b & b)) & c))) - ~ (((c + ((((~ e | b) - ~ e) & ~ e) + e)) + 1) + ((- c - 1) | (- ((((~ e | b) - ~ e) & ~ e) + e) - 1)))) | ~ ((b | ((e & b) * (e | b) + (e & ~ b) * (~ e & b))) - (b & ((e & b) * (e | b) + (e & ~ b) * (~ e & b))))))) - 2,((((c|((e&b)|e))&((b*b)*c))^(b^(e*b))))
((((c & ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a))) * (c | ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a))) + (c & ~ ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a))) * (~ c & ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a)))) + (((c + a) + 1) + ((- c - 1) | (- a - 1)))) + 1) + ((- ((c & ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a))) * (c | ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a))) + (c & ~ ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a))) * (~ c & ((((c & a) * (c | a) + (c & ~ a) * (~ c & a)) | a) - (((c & a) * (c | a) + (c & ~ a) * (~ c & a)) & a)))) - 1) | (- (((c + a) + 1) + ((- c - 1) | (- a - 1))) - 1)),(((c*((c*a)^a))|(c|a)))
(((~ a | (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) - ~ a) | (((((((a | a) + (a & a)) & a) * (((a | a) + (a & a)) | a) + (((a | a) + (a & a)) & ~ a) * (~ ((a | a) + (a & a)) & a)) - (((a - a) - ((a | ~ a) << 1)) - 2)) - ((((((a | a) + (a & a)) & a) * (((a | a) + (a & a)) | a) + (((a | a) + (a & a)) & ~ a) * (~ ((a | a) + (a & a)) & a)) | ~ (((a - a) - ((a | ~ a) << 1)) - 2)) + (((((a | a) + (a & a)) & a) * (((a | a) + (a & a)) | a) + (((a | a) + (a & a)) & ~ a) * (~ ((a | a) + (a & a)) & a)) | ~ (((a - a) - ((a | ~ a) << 1)) - 2)))) - 2)) - (((~ a | (((a - b) - ((a | ~ b) + (a | ~ b))) - 2)) - ~ a) & (((((((a | a) + (a & a)) & a) * (((a | a) + (a & a)) | a) + (((a | a) + (a & a)) & ~ a) * (~ ((a | a) + (a & a)) & a)) - (((a - a) - ((a | ~ a) << 1)) - 2)) - ((((((a | a) + (a & a)) & a) * (((a | a) + (a & a)) | a) + (((a | a) + (a & a)) & ~ a) * (~ ((a | a) + (a & a)) & a)) | ~ (((a - a) - ((a | ~ a) << 1)) - 2)) + (((((a | a) + (a & a)) & a) * (((a | a) + (a & a)) | a) + (((a | a) + (a & a)) & ~ a) * (~ ((a | a) + (a & a)) & a)) | ~ (((a - a) - ((a | ~ a) << 1)) - 2)))) - 2)),(((a&(a^b))^(((a+a)*a)^(a^a))))
((~ (((~ d | d) + d) + 1) + 1) & (~ d + 1)) * ((~ (((~ d | d) + d) + 1) + 1) | (~ d + 1)) + ((~ (((~ d | d) + d) + 1) + 1) & ~ (~ d + 1)) * (~ (~ (((~ d | d) + d) + 1) + 1) & (~ d + 1)),(((-(d&d))*(-d)))
